mainform;variation;count;details
re-frè;re-frè, refré, re-fré, res-frè, refrés, reufrés, re-frés, reufré, refrè, refrès, reu-fré, re-frès, res-fré, reufrès, reufrè, reu-frés, re-fre, refre, reuf-rés, reu-frè, re-frê, refres, res-frès, reufrée;625;re-frè (142), refré (83), re-fré (76), res-frè (73), refrés (59), reufrés (39), re-frés (27), reufré (25), refrè (21), refrès (14), reu-fré (12), re-frès (11), res-fré (9), reufrès (8), reufrè (8), reu-frés (6), re-fre (3), refre (3), reuf-rés (1), reu-frè (1), re-frê (1), refres (1), res-frès (1), reufrée (1)
reufs;reufs, reuf, reuf', reuf's, reufs', reu-f';631;reufs (368), reuf (240), reuf' (16), reuf's (4), reufs' (2), reu-f' (1)
bendo;bendo, bando, bend', bendos, bend's;402;bendo (296), bando (101), bend' (3), bendos (1), bend's (1)
khey;khey, kheys, rhey, kheyou, kheye, rheyou, rheyous, rheys, kheyes, kheiye, kheyous, kheyo, kheyyo, kheyos, kheyene, rheyo, rheytos;485;khey (341), kheys (79), rhey (19), kheyou (7), kheye (5), rheyou (5), rheyous (5), rheys (5), kheyes (5), kheiye (4), kheyous (3), kheyo (2), kheyyo (1), kheyos (1), kheyene (1), rheyo (1), rheytos (1)
flex;flex, flex', flexer, flexera, flexance;266;flex (262), flex' (1), flexer (1), flexera (1), flexance (1)
fonce-dé;fonce-dé, foncedé, fonsdé, fons-dé, foncdé, fonc-dé, fonces-dé, foncedés, fonceder, fonsdés, fonce-dés, fonce-der, fonce-dé', fonsdée, fonc'dé, fonse-dé, fonc'-dé, foncder, fonsdé', foncer-dé, fonss-dé, fonce-dée, fonce-dées, foncé-dé, foncédés, foncées-dé, fonce-deh, fons-de, fonsder, fonc-dés, fon-ce-der, fon-ce-dé, fon-ce-dés;625;fonce-dé (333), foncedé (99), fonsdé (61), fons-dé (21), foncdé (15), fonc-dé (13), fonces-dé (13), foncedés (13), fonceder (8), fonsdés (7), fonce-dés (5), fonce-der (4), fonce-dé' (4), fonsdée (3), fonc'dé (3), fonse-dé (3), fonc'-dé (2), foncder (2), fonsdé' (2), foncer-dé (1), fonss-dé (1), fonce-dée (1), fonce-dées (1), foncé-dé (1), foncédés (1), foncées-dé (1), fonce-deh (1), fons-de (1), fonsder (1), fonc-dés (1), fon-ce-der (1), fon-ce-dé (1), fon-ce-dés (1)
die;die, dies, dieront;396;die (393), dies (2), dieront (1)
rebeu;rebeu, rebeus, rebeux, reubeus, reubeu, re-beu, rebeu', re-beus, rebeuz, reubeux, reu-beu;503;rebeu (285), rebeus (121), rebeux (30), reubeus (23), reubeu (20), re-beu (12), rebeu' (3), re-beus (3), rebeuz (3), reubeux (2), reu-beu (1)
téma;téma, té-ma, tema, te-ma, ter-ma, té-ma', tez-ma, tté-ma, tter-ma, 'té-ma', téma', te-mat, tte-ma, té'ma;615;téma (273), té-ma (218), tema (39), te-ma (35), ter-ma (28), té-ma' (5), tez-ma (4), tté-ma (4), tter-ma (2), 'té-ma' (2), téma' (2), te-mat (1), tte-ma (1), té'ma (1)
bédo;bédo, bédos, bedo, bédot, bedos, bédots, bé-do, bédo', be-do, bedo', bedots;603;bédo (448), bédos (77), bedo (49), bédot (10), bedos (7), bédots (4), bé-do (3), bédo' (2), be-do (1), bedo' (1), bedots (1)
pe-ra;pe-ra, peura, peu-ra, pera, pé-ra, péra, pper-ra, per-ra, ppe-ra, ppé-ra, peras, 'peu-ra', pe-ra', peur-ras, per-ra', 'pé-ra', pé-rra;833;pe-ra (278), peura (129), peu-ra (116), pera (81), pé-ra (77), péra (65), pper-ra (29), per-ra (23), ppe-ra (22), ppé-ra (4), peras (2), 'peu-ra' (2), pe-ra' (1), peur-ras (1), per-ra' (1), 'pé-ra' (1), pé-rra (1)
déter';déter', déter, deter', déters, détère, dé-ter, détér, détèr, détères;537;déter' (346), déter (152), deter' (14), déters (9), détère (7), dé-ter (5), détér (2), détèr (1), détères (1)
ap;ap, ap', as-p, aps, 'as-p', 'ap, a-p, as-p', 'ap', ap-s, 'a-p, 'aps', a-p';512;ap (264), ap' (105), as-p (57), aps (48), 'as-p' (9), 'ap (7), a-p (7), as-p' (6), 'ap' (3), ap-s (2), 'a-p (2), 'aps' (1), a-p' (1)
tieks;tieks, tiek, tiek's, tiek', tieks', tièks, tieqs, tiéks, tieq's, tiecks, tier-q', tièk, tiék, tiec's, tier-c, tierq, tiék's, tièq, tiècs, tiecs;546;tieks (424), tiek (44), tiek's (30), tiek' (10), tieks' (8), tièks (7), tieqs (5), tiéks (2), tieq's (2), tiecks (2), tier-q' (2), tièk (2), tiék (1), tiec's (1), tier-c (1), tierq (1), tiék's (1), tièq (1), tiècs (1), tiecs (1)
tah;tah, tah', tahh, tahhh;457;tah (453), tah' (2), tahh (1), tahhh (1)
zin;zin, zins, 'zin, zin', 'sin, zinz, zinz', zin's, zins', 'zins;245;zin (128), zins (70), 'zin (17), zin' (12), 'sin (8), zinz (4), zinz' (3), zin's (1), zins' (1), 'zins (1)
squad;squad, squaad, squade;313;squad (303), squaad (9), squade (1)
ients-cli;ients-cli, ient-cli, ien-cli, iencli, ienclis, yenclis, ien-clis, ients-ients, iens-cli, ien-clits, ienclits, ients-clis, ienclards, ient-clis, ien-clit, ienclar, ien-clar, yenclar, ientscli, ientes-cli, ienclie, 'ient-cli', ienclard, iens-clar, ients-clar', yenclars;432;ients-cli (175), ient-cli (95), ien-cli (51), iencli (23), ienclis (23), yenclis (11), ien-clis (8), ients-ients (8), iens-cli (7), ien-clits (4), ienclits (3), ients-clis (3), ienclards (3), ient-clis (2), ien-clit (2), ienclar (2), ien-clar (2), yenclar (2), ientscli (1), ientes-cli (1), ienclie (1), 'ient-cli' (1), ienclard (1), iens-clar (1), ients-clar' (1), yenclars (1)
vesqui;vesqui, ves-qui, v'-esqui, veski, vé-squi, ve-squi, ver-squi, ve-esqui, vesqui', vés-qui, ves-ki, v'-squi, ves'-qui, ves'qui, ves-esqui, ves-qui', ves-squi, vesquis, v'-esqui', v'-ésqui, vès-qui, ve-esqui', ves-qi, veski';533;vesqui (236), ves-qui (153), v'-esqui (49), veski (20), vé-squi (14), ve-squi (12), ver-squi (10), ve-esqui (9), vesqui' (8), vés-qui (7), ves-ki (2), v'-squi (1), ves'-qui (1), ves'qui (1), ves-esqui (1), ves-qui' (1), ves-squi (1), vesquis (1), v'-esqui' (1), v'-ésqui (1), vès-qui (1), ve-esqui' (1), ves-qi (1), veski' (1)
khaliss;khaliss, khalis, rhalis, khalisse, kha-khaliss, khaaliss, khalissi;255;khaliss (166), khalis (82), rhalis (3), khalisse (1), kha-khaliss (1), khaaliss (1), khalissi (1)
sheitan;sheitan, sheïtan, sheitana, sheytan, shaytan, tan-shei, sheitane, shetan, sheitanise, sheitanisées, shettan, sheitaneries, sheitanisé, sheiytana, sheïtana, sheïtane, sheytane, sheytans, shaytana, shaytane, shaytans, shaïtan, sheithan, tan-shey, tan-sheï;519;sheitan (398), sheïtan (46), sheitana (20), sheytan (18), shaytan (7), tan-shei (4), sheitane (3), shetan (3), sheitanise (2), sheitanisées (2), shettan (2), sheitaneries (1), sheitanisé (1), sheiytana (1), sheïtana (1), sheïtane (1), sheytane (1), sheytans (1), shaytana (1), shaytane (1), shaytans (1), shaïtan (1), sheithan (1), tan-shey (1), tan-sheï (1)
hood;hood, hoods;330;hood (324), hoods (6)
wallah;wallah, wallaye, wallahy, walay, wallahi, walaye, wallahye, wouallah, walai;385;wallah (305), wallaye (56), wallahy (7), walay (7), wallahi (4), walaye (3), wallahye (1), wouallah (1), walai (1)
high;high, highs;270;high (266), highs (4)
binks;binks;590;
tit-pe;tit-pe, tits-pe, ti-peu, ti-pe, tipeu, tit-peu, tits-peu, tipeus, tipeux, 'tits-pe', titepe, tis-peu, tite-pe, tit-pe', tits-pe', tis-pe, ti-peus, tites-pe, 'tit-pe';475;tit-pe (175), tits-pe (162), ti-peu (39), ti-pe (29), tipeu (24), tit-peu (15), tits-peu (7), tipeus (7), tipeux (5), 'tits-pe' (3), titepe (1), tis-peu (1), tite-pe (1), tit-pe' (1), tits-pe' (1), tis-pe (1), ti-peus (1), tites-pe (1), 'tit-pe' (1)
poucave;poucave, poucaves, poukave, poukaves, poucavent, poucav, poucav', poukav, poucavs, poukavent, pouckave, poucavaient, poucaver, poucaverie, poucaveries, poukavs, poukavé, poucaverai;478;poucave (214), poucaves (165), poukave (33), poukaves (25), poucavent (9), poucav (8), poucav' (7), poukav (5), poucavs (2), poukavent (2), pouckave (1), poucavaient (1), poucaver (1), poucaverie (1), poucaveries (1), poukavs (1), poukavé (1), poucaverai (1)
like;like, likes, liké, likent, likez, likerai;253;like (180), likes (61), liké (7), likent (3), likez (1), likerai (1)
concu';concu', concu, conqu, conqu';436;concu' (284), concu (150), conqu (1), conqu' (1)
sky;sky, 'sky, sky';454;sky (374), 'sky (45), sky' (35)
vibe;vibe, vibes, viber, vibent;337;vibe (208), vibes (126), viber (2), vibent (1)
fly;fly, flyance, flyant, flyest;321;fly (317), flyance (2), flyant (1), flyest (1)
schneck;schneck, schnek, shnek, shneck, schneks, chnek, shneks, shnecks, chneck, schnek'zer, schneckzer, shnek'zer, schneiks, schneik, schnèk, schneckes, chneks, chnèque, schneck'zer, chneckzer;367;schneck (101), schnek (94), shnek (44), shneck (44), schneks (28), chnek (19), shneks (13), shnecks (8), chneck (2), schnek'zer (2), schneckzer (2), shnek'zer (2), schneiks (1), schneik (1), schnèk (1), schneckes (1), chneks (1), chnèque (1), schneck'zer (1), chneckzer (1)
chill;chill, chiller, chille, chillent, chillance, chillé, chillant, chilles, chillax, chill', chillera, chilleur, chilleurs, chillettes, tchiller, chillais;326;chill (202), chiller (63), chille (26), chillent (6), chillance (6), chillé (5), chillant (5), chilles (3), chillax (2), chill' (2), chillera (1), chilleur (1), chilleurs (1), chillettes (1), tchiller (1), chillais (1)
track;track, tracks, trackz;450;track (347), tracks (102), trackz (1)
tier-quar;tier-quar, tiers-quar, tié-quar, tierquar, tiekar, tier-car, tier-quar', tier-qua, tiéquar, tiécar, tie-quar, tié-kar, tiékar, tié-quart, tiers-quart, tiékars, tier-quart, tièkar, tiekcar, tiecar, tier'qua, tiequar, tier-quars, tiers-qua, 'tier-quar', tiécard, tiécars, tiè-quar, tier-kar, tiécart;415;tier-quar (281), tiers-quar (23), tié-quar (20), tierquar (11), tiekar (11), tier-car (9), tier-quar' (7), tier-qua (7), tiéquar (6), tiécar (5), tie-quar (4), tié-kar (4), tiékar (4), tié-quart (3), tiers-quart (2), tiékars (2), tier-quart (2), tièkar (2), tiekcar (1), tiecar (1), tier'qua (1), tiequar (1), tier-quars (1), tiers-qua (1), 'tier-quar' (1), tiécard (1), tiécars (1), tiè-quar (1), tier-kar (1), tiécart (1)
kill;kill, killer, killah, killeur, killés, killent, killé, killaz, killeurs, killa', kill', killes, killeuse, killeuz;484;kill (282), killer (157), killah (15), killeur (8), killés (4), killent (4), killé (3), killaz (2), killeurs (2), killa' (2), kill' (2), killes (1), killeuse (1), killeuz (1)
scred;scred, scred', 'scred', screds, scréd, scre-d, 'scred, 'scrète, scret;342;scred (299), scred' (30), 'scred' (4), screds (3), scréd (2), scre-d (1), 'scred (1), 'scrète (1), scret (1)
gamos;gamos, gamoss, gamosse, gamosses;351;gamos (343), gamoss (6), gamosse (1), gamosses (1)
'teille;'teille, 'teilles, teilles', teil', teill', teill, 'teil;336;'teille (248), 'teilles (75), teilles' (5), teil' (4), teill' (2), teill (1), 'teil (1)
cons';cons';469;
loca;loca, loco, locos, locas;293;loca (163), loco (72), locos (54), locas (4)
salam;salam, salaam, as-salam, salam', asalam, as-salâm;307;salam (281), salaam (18), as-salam (4), salam' (2), asalam (1), as-salâm (1)
homie;homie, homies;239;homie (134), homies (105)
motherfucker;motherfucker, motherfuck, motherfucking, motherfuck', motherfuckers, mothafucka, motherfuckin', motherfucka, mothafuck, mothafuckin', motherfuckin, mothafuck', mothafucker, mothafuckin, motherfucks, motherfuckas, mother'fucking, mothafuckaaa, mothafuckas, mothafuckers, mothafucking, mothahfuck, mothefucker, mother'fucker, motherfucka';241;motherfucker (93), motherfuck (43), motherfucking (17), motherfuck' (13), motherfuckers (13), mothafucka (11), motherfuckin' (10), motherfucka (7), mothafuck (6), mothafuckin' (4), motherfuckin (4), mothafuck' (3), mothafucker (3), mothafuckin (2), motherfucks (2), motherfuckas (1), mother'fucking (1), mothafuckaaa (1), mothafuckas (1), mothafuckers (1), mothafucking (1), mothahfuck (1), mothefucker (1), mother'fucker (1), motherfucka' (1)
àl;àl, à-l, al';272;àl (185), à-l (58), al' (29)
gow;gow, gows, go', go's, go'zer, go-ow;252;gow (135), gows (55), go' (50), go's (10), go'zer (1), go-ow (1)
peuf;peuf, peuf', ppe-f', peufs, peuff, ppe-f;191;peuf (124), peuf' (31), ppe-f' (29), peufs (4), peuff (2), ppe-f (1)
shtar;shtar, shtars, chtars, chtar, schtar, chtars', chtards, chtah, schtards, shtah, chtard, chtar's, shtar's, chta, chtar', schtar', schtard;402;shtar (131), shtars (114), chtars (64), chtar (60), schtar (8), chtars' (5), chtards (4), chtah (3), schtards (3), shtah (2), chtard (2), chtar's (1), shtar's (1), chta (1), chtar' (1), schtar' (1), schtard (1)
oim;oim, oi-m, oim', ois-m, oims, oi-ms, oims', 'oim;338;oim (233), oi-m (64), oim' (34), ois-m (2), oims (2), oi-ms (1), oims' (1), 'oim (1)
chelou;chelou, chelous, che-lou, ches-lou, cheloues, cheloue, 'che-lou', chelou', ches-lou', cheloument;335;chelou (207), chelous (58), che-lou (42), ches-lou (14), cheloues (5), cheloue (3), 'che-lou' (3), chelou' (1), ches-lou' (1), cheloument (1)
soss;soss, soces, soss', soc', ssoc', ssos', 'soce, 'soces, soc's, 'ssoc, 'ssoce, 'ssos, ssos;316;soss (110), soces (73), soss' (64), soc' (53), ssoc' (4), ssos' (3), 'soce (2), 'soces (2), soc's (1), 'ssoc (1), 'ssoce (1), 'ssos (1), ssos (1)
rain-té;rain-té, rrain-té, rrain-te, rainté, rain-ter, rain-te, rinté, rrainté, raintés, rrains-te, rainter, rrains-té, rains-té, rain-tés, rain-t, rintés;392;rain-té (122), rrain-té (116), rrain-te (63), rainté (39), rain-ter (16), rain-te (9), rinté (7), rrainté (5), raintés (3), rrains-te (3), rainter (2), rrains-té (2), rains-té (2), rain-tés (1), rain-t (1), rintés (1)
swag;swag, swagg, swaggé, swagga, swaggés, swag'zer, swaag, swaggeurs, swaga, swaggée, swaggées, swaggué, swagé, swagy, swagance, swaguer;307;swag (213), swagg (63), swaggé (14), swagga (3), swaggés (2), swag'zer (2), swaag (1), swaggeurs (1), swaga (1), swaggée (1), swaggées (1), swaggué (1), swagé (1), swagy (1), swagance (1), swaguer (1)
amigo;amigo, amigos;136;amigo (111), amigos (25)
bougs;bougs, boug, bougzers, boug', bougzer, boug'zer, boug-zer, bougs', boug'z, boug'zers, bougs'zer, bougz, bougz', bougzere;302;bougs (151), boug (114), bougzers (7), boug' (7), bougzer (6), boug'zer (6), boug-zer (3), bougs' (2), boug'z (1), boug'zers (1), bougs'zer (1), bougz (1), bougz' (1), bougzere (1)
chicos;chicos, chico, chica, chicas, tchika, tchico, chicco, tchikas, tchicos;221;chicos (79), chico (67), chica (53), chicas (13), tchika (4), tchico (2), chicco (1), tchikas (1), tchicos (1)
gue-dro;gue-dro, guedro, gues-dro, guer-dro, gue-dros, gue'dro, gue-dro';160;gue-dro (132), guedro (16), gues-dro (6), guer-dro (3), gue-dros (1), gue'dro (1), gue-dro' (1)
pécho;pécho, per-cho, pé-cho, pecho, pper-cho, pe-cho, péchos, per-cho', pper-cho', pé-cho', pécho';311;pécho (205), per-cho (43), pé-cho (40), pecho (8), pper-cho (6), pe-cho (3), péchos (2), per-cho' (1), pper-cho' (1), pé-cho' (1), pécho' (1)
bédave;bédave, bédaves, bédavent, bedave, bédaveur, bédaveurs, bédavais, bédaver, bédav, bédavait, bedav, bédav', bédavera, bedaver, bedaves, bedaveur;410;bédave (337), bédaves (17), bédavent (16), bedave (13), bédaveur (5), bédaveurs (5), bédavais (3), bédaver (3), bédav (2), bédavait (2), bedav (2), bédav' (1), bédavera (1), bedaver (1), bedaves (1), bedaveur (1)
cess;cess, cess', 'cess;209;cess (141), cess' (64), 'cess (4)
zeb;zeb, zeub, zebi, zeubi, zeb', zeubs, zeub', zebs, zéb';338;zeb (226), zeub (48), zebi (23), zeubi (18), zeb' (16), zeubs (4), zeub' (1), zebs (1), zéb' (1)
deuspi;deuspi, de-spee, despi, de-spi, despee, deu-spi, deu-spee, deus-pi, de-spee', deuspi', deusspi, deuss-pi;318;deuspi (94), de-spee (87), despi (54), de-spi (25), despee (23), deu-spi (19), deu-spee (5), deus-pi (4), de-spee' (3), deuspi' (2), deusspi (1), deuss-pi (1)
tasse-pé;tasse-pé, tasses-pé, tass-pé, taspé, tasspé, taspés, tasspés, tas-pé, tassepé, tassepés, tass-pés, tasse-pé', 'tasses-pé', tasse-pe, tasse-pés, tass-pé', tass-pées, 'tasses-pé;345;tasse-pé (134), tasses-pé (89), tass-pé (48), taspé (16), tasspé (15), taspés (10), tasspés (9), tas-pé (4), tassepé (3), tassepés (3), tass-pés (3), tasse-pé' (3), 'tasses-pé' (3), tasse-pe (1), tasse-pés (1), tass-pé' (1), tass-pées (1), 'tasses-pé (1)
boloss;boloss, bolosses, bolosse, bolosser, bolossé, bolos', boloss', bolossent;330;boloss (231), bolosses (54), bolosse (37), bolosser (3), bolossé (2), bolos' (1), boloss' (1), bolossent (1)
bre-som;bre-som, bresom, bressom, bres-som, breussom, bre-soms, bre-son, bre-ssom, bressoms;195;bre-som (117), bresom (31), bressom (25), bres-som (17), breussom (1), bre-soms (1), bre-son (1), bre-ssom (1), bressoms (1)
shlags;shlags, shlag, schlags, schlag, shlagues, shlague, shlagg, shlaggs, shlaguito, schlaggs, schlagg, schlaggués, chlags, schlagués, shlagués, shlagés, shlagueuses, shlago, shlagance, shlagito, shlagoss', shlaga;325;shlags (90), shlag (74), schlags (65), schlag (53), shlagues (14), shlague (6), shlagg (4), shlaggs (3), shlaguito (2), schlaggs (2), schlagg (1), schlaggués (1), chlags (1), schlagués (1), shlagués (1), shlagés (1), shlagueuses (1), shlago (1), shlagance (1), shlagito (1), shlagoss' (1), shlaga (1)
blunt;blunt, blunts;260;blunt (224), blunts (36)
follow;follow, followers, followent, follower, followe, followeuses;224;follow (172), followers (44), followent (4), follower (2), followe (1), followeuses (1)
faya;faya, fayas;238;faya (230), fayas (8)
té-ci;té-ci, téci, tés-ci, 'té-ci', teci, té-ci', técis, te-ci, té-cies, téçi, te-si;271;té-ci (213), téci (26), tés-ci (20), 'té-ci' (3), teci (3), té-ci' (1), técis (1), te-ci (1), té-cies (1), téçi (1), te-si (1)
smoke;smoke, smoker, smokent, smokin', smokin, smokes, smoké, smokeur, smokeurs;255;smoke (200), smoker (24), smokent (12), smokin' (4), smokin (4), smokes (4), smoké (3), smokeur (3), smokeurs (1)
best;best, bests;280;best (260), bests (20)
wacks;wacks, wack, wak, whack, whacks, wack's, wacka, wackers, wackettes;284;wacks (165), wack (103), wak (5), whack (3), whacks (2), wack's (2), wacka (2), wackers (1), wackettes (1)
brolique;brolique, brolic, brolik, broliques, brolics, brelic, brolick, broliks, breliques, brelik, brolicks, brelique, brelics, brolic', brelic', bre-lic, brelick, lik-bro, bre-li-ca;281;brolique (108), brolic (66), brolik (28), broliques (17), brolics (12), brelic (9), brolick (8), broliks (6), breliques (6), brelik (4), brolicks (3), brelique (3), brelics (2), brolic' (2), brelic' (2), bre-lic (2), brelick (1), lik-bro (1), bre-li-ca (1)
rageux;rageux, rageuses, rageuse;274;rageux (266), rageuses (6), rageuse (2)
schmits;schmits, shmits, schmitt, schmit, shmitts, shmitt, schmeta, schmet, anti-schmits, shmit, shmeta, schmets, schmidts, shmiture, anti-schmit, schmiture, schmetas, shmetas, shmettas, shmidts, schmétas, chmetah, chméta, shmidt, shmites, schmit', shmets, shmett, shmet, schmidture, schmittée, shmitture, schmitards, chmet, chmétas, anti-schmitt;258;schmits (79), shmits (35), schmitt (22), schmit (22), shmitts (21), shmitt (7), schmeta (5), schmet (5), anti-schmits (5), shmit (5), shmeta (5), schmets (4), schmidts (4), shmiture (4), anti-schmit (4), schmiture (3), schmetas (3), shmetas (2), shmettas (2), shmidts (2), schmétas (2), chmetah (2), chméta (2), shmidt (1), shmites (1), schmit' (1), shmets (1), shmett (1), shmet (1), schmidture (1), schmittée (1), shmitture (1), schmitards (1), chmet (1), chmétas (1), anti-schmitt (1)
vi-ser;vi-ser, vis-ser, vi-sser, vissère, visser', vi-cer, vi-ser', vi-sère, vi-sèr, vi-sér, vi'-ser, visère, vies-ser, visére, vi-scer, vi-sere, vi-sére, vi-cèr;282;vi-ser (198), vis-ser (32), vi-sser (18), vissère (8), visser' (7), vi-cer (4), vi-ser' (3), vi-sère (2), vi-sèr (1), vi-sér (1), vi'-ser (1), visère (1), vies-ser (1), visére (1), vi-scer (1), vi-sere (1), vi-sére (1), vi-cèr (1)
pélo;pélo, pelo, pélos, pelos, pelot;222;pélo (115), pelo (64), pélos (32), pelos (10), pelot (1)
tchoin;tchoin, tchoins, tshoin, tshoins, choine, choines, tschoin, choin;252;tchoin (130), tchoins (92), tshoin (12), tshoins (9), choine (4), choines (3), tschoin (1), choin (1)
