mainform;variation;count;details
shlags;shlags, shlag, schlags, schlag, shlagues, shlague, shlagg, shlaggs, shlaguito, schlaggs, schlagg, schlaggués, chlags, schlagués, shlagués, shlagés, shlagueuses, shlago, shlagance, shlagito, shlagoss', shlaga;325;shlags (90), shlag (74), schlags (65), schlag (53), shlagues (14), shlague (6), shlagg (4), shlaggs (3), shlaguito (2), schlaggs (2), schlagg (1), schlaggués (1), chlags (1), schlagués (1), shlagués (1), shlagés (1), shlagueuses (1), shlago (1), shlagance (1), shlagito (1), shlagoss' (1), shlaga (1)
blunt;blunt, blunts;260;blunt (224), blunts (36)
follow;follow, followers, followent, follower, followe, followeuses;224;follow (172), followers (44), followent (4), follower (2), followe (1), followeuses (1)
faya;faya, fayas;238;faya (230), fayas (8)
smoke;smoke, smoker, smokent, smokin', smokin, smokes, smoké, smokeur, smokeurs;255;smoke (200), smoker (24), smokent (12), smokin' (4), smokin (4), smokes (4), smoké (3), smokeur (3), smokeurs (1)
best;best, bests;280;best (260), bests (20)
wacks;wacks, wack, wak, whack, whacks, wacka, wack's, wackers, wackettes;284;wacks (165), wack (103), wak (5), whack (3), whacks (2), wacka (2), wack's (2), wackers (1), wackettes (1)
schmits;schmits, shmits, schmitt, schmit, shmitts, shmitt, schmeta, schmet, anti-schmits, shmit, shmeta, schmets, schmidts, shmiture, anti-schmit, schmiture, schmetas, shmetas, shmettas, shmidts, schmétas, chmetah, chméta, shmidt, shmites, schmit', shmets, shmett, shmet, schmidture, schmittée, shmitture, schmitards, chmet, chmétas, anti-schmitt;258;schmits (79), shmits (35), schmitt (22), schmit (22), shmitts (21), shmitt (7), schmeta (5), schmet (5), anti-schmits (5), shmit (5), shmeta (5), schmets (4), schmidts (4), shmiture (4), anti-schmit (4), schmiture (3), schmetas (3), shmetas (2), shmettas (2), shmidts (2), schmétas (2), chmetah (2), chméta (2), shmidt (1), shmites (1), schmit' (1), shmets (1), shmett (1), shmet (1), schmidture (1), schmittée (1), shmitture (1), schmitards (1), chmet (1), chmétas (1), anti-schmitt (1)
pélo;pélo, pelo, pélos, pelos, pelot;222;pélo (115), pelo (64), pélos (32), pelos (10), pelot (1)
tchoin;tchoin, tchoins, tshoin, tshoins, choine, choines, tschoin, choin;252;tchoin (130), tchoins (92), tshoin (12), tshoins (9), choine (4), choines (3), tschoin (1), choin (1)
battle;battle, battles;178;battle (124), battles (54)
hess;hess, hass, lahess, hess', hass', lahass, larhess;615;hess (405), hass (195), lahess (8), hess' (4), hass' (1), lahass (1), larhess (1)
jump;jump, jumper, jumpin', jumping, jumpent, jump';115;jump (76), jumper (32), jumpin' (2), jumping (2), jumpent (2), jump' (1)
fake;fake, fakes;189;fake (131), fakes (58)
hagar;hagar, hagra, hagars, hagras, hagrah, hagar', haggra;258;hagar (129), hagra (111), hagars (7), hagras (4), hagrah (4), hagar' (2), haggra (1)
lyrical;lyrical, lyricale, lyricalement, lyricales, lyricaux, lyricals, lyrilycal, lyrical'ment, lyrikal;236;lyrical (120), lyricale (47), lyricalement (39), lyricales (17), lyricaux (7), lyricals (3), lyrilycal (1), lyrical'ment (1), lyrikal (1)
shab;shab, srabs, sahbi, shabs, shrab, srab, shrabs, srhab, srhabs, shabi, sahb, sahbs, sahrbi, sahab, srahbs;227;shab (49), srabs (39), sahbi (33), shabs (32), shrab (30), srab (22), shrabs (11), srhab (3), srhabs (2), shabi (1), sahb (1), sahbs (1), sahrbi (1), sahab (1), srahbs (1)
akhi;akhi, akhis, akhy, akhé, akhey;153;akhi (145), akhis (3), akhy (3), akhé (1), akhey (1)
twerk;twerk, twerker, twerke, twerkent, twerkes, twerks, twerkin, twerkais, twerkant, twerké, twerkeuse, twerkiez;148;twerk (66), twerker (33), twerke (29), twerkent (8), twerkes (3), twerks (3), twerkin (1), twerkais (1), twerkant (1), twerké (1), twerkeuse (1), twerkiez (1)
sip;sip, sippin', sip', sippin, sipp', sippe, sippent, sipp'in, sipper, sipin, sipin', sippeurs, sipant, sippais;129;sip (72), sippin' (20), sip' (15), sippin (6), sipp' (5), sippe (2), sippent (2), sipp'in (1), sipper (1), sipin (1), sipin' (1), sippeurs (1), sipant (1), sippais (1)
inch'allah;inch'allah, inchallah, insh'allah, inshallah, incha'allah, insha'allah, inshaallah, inchaallah, inchalah, inchalla;181;inch'allah (114), inchallah (26), insh'allah (14), inshallah (12), incha'allah (6), insha'allah (4), inshaallah (2), inchaallah (1), inchalah (1), inchalla (1)
punchline;punchline, punchliner, punchlineur, punch-line, punch-lignes, punchliners;211;punchline (191), punchliner (12), punchlineur (5), punch-line (1), punch-lignes (1), punchliners (1)
story;story, story's, storie;160;story (156), story's (2), storie (2)
bro;bro, bros, brother, brothers, bro', brotha, brotherz, bro's;132;bro (53), bros (24), brother (21), brothers (15), bro' (14), brotha (2), brotherz (2), bro's (1)
fight;fight, fighter;162;fight (145), fighter (17)
drip;drip;41;
move;move, mové, moov, movin', mooves, movez, movez', moovés, movin;97;move (78), mové (4), moov (4), movin' (3), mooves (2), movez (2), movez' (2), moovés (1), movin (1)
level;level, levels;149;level (148), levels (1)
gadji;gadji, gadjo, gadjis, gadjos, gadgi, gadgis, gadjies, gadgo, gardjo;170;gadji (69), gadjo (35), gadjis (34), gadjos (26), gadgi (2), gadgis (1), gadjies (1), gadgo (1), gardjo (1)
muerte;muerte, muerta, muertos, muerto;80;muerte (75), muerta (3), muertos (1), muerto (1)
racli;racli, raclis, raclos, raclo, raclots, raclie, racli', raclies, raclises, racllis, racl', raclo';238;racli (110), raclis (52), raclos (38), raclo (25), raclots (6), raclie (1), racli' (1), raclies (1), raclises (1), racllis (1), racl' (1), raclo' (1)
cops;cops, cops';127;cops (124), cops' (3)
dinero;dinero, dineros;81;dinero (45), dineros (36)
nada;nada;137;
falsh;falsh, falsch, falche, falches, falch, falshs, falsh', falschs, falsher;112;falsh (34), falsch (27), falche (19), falches (11), falch (9), falshs (9), falsh' (1), falschs (1), falsher (1)
stone;stone, stoned, stonarisé;120;stone (118), stoned (1), stonarisé (1)
fuego;fuego;58;
niaks;niaks, niak, niac, niak's, niakh, niacks, niaxx, niack, niaks', niak', niakhs, niax', niac', niacs;159;niaks (117), niak (19), niac (4), niak's (3), niakh (3), niacks (3), niaxx (2), niack (2), niaks' (1), niak' (1), niakhs (1), niax' (1), niac' (1), niacs (1)
haram;haram, haramistes, haramifié, haramis;140;haram (134), haramistes (4), haramifié (1), haramis (1)
puta;puta, puto, putas, putos;139;puta (79), puto (31), putas (16), putos (13)
loose;loose, looser, lose, loser, loosé, loos', loosés, loses;124;loose (44), looser (28), lose (26), loser (22), loosé (1), loos' (1), loosés (1), loses (1)
diez;diez, dieze, diezes, djézer, djéssi;144;diez (137), dieze (3), diezes (2), djézer (1), djéssi (1)
hamdoullah;hamdoullah, hamdoulah, hamdoulilah, hamdullah, hamdoulillah, hamdou', hamdulillah, hamdulilah, hamdou, alhamdulillah, hamdoullilah, al-hamdoulillah, hamdoula, hamdoulaah, hamdoulila, hamdullilah, alhamdoulilah, al-hamdoulilah;112;hamdoullah (42), hamdoulah (22), hamdoulilah (10), hamdullah (9), hamdoulillah (8), hamdou' (5), hamdulillah (3), hamdulilah (2), hamdou (2), alhamdulillah (1), hamdoullilah (1), al-hamdoulillah (1), hamdoula (1), hamdoulaah (1), hamdoulila (1), hamdullilah (1), alhamdoulilah (1), al-hamdoulilah (1)
khabat;khabat, khabats, khabate, khabatt, khabbate;139;khabat (131), khabats (5), khabate (1), khabatt (1), khabbate (1)
goddamn;goddamn, gaddamn, godamn, gadamn, gaddam, gadem, gaddamn', gaddemn;107;goddamn (56), gaddamn (36), godamn (4), gadamn (4), gaddam (4), gadem (1), gaddamn' (1), gaddemn (1)
aka;aka;141;
dark;dark, darks;150;dark (147), darks (3)
hustler;hustler, hustlers, hustla, hussle, hustlin', hustleuse, husler, hussler, hustlaz, hustla', hustlarde, hustlin, huslin, hustle's, hustlers's;135;hustler (72), hustlers (27), hustla (17), hussle (3), hustlin' (3), hustleuse (2), husler (2), hussler (2), hustlaz (1), hustla' (1), hustlarde (1), hustlin (1), huslin (1), hustle's (1), hustlers's (1)
bounce;bounce, bouncer, bouncent, bounces, bouncé;67;bounce (56), bouncer (7), bouncent (2), bounces (1), bouncé (1)
adios;adios, adiós;41;adios (37), adiós (4)
jnouns;jnouns, jnoun, jnouné, jnouney, jnounés, jnouner, jnounes, jnoounes, jnoon, jnooné, jnoune, jnouneys, jnounées;142;jnouns (61), jnoun (37), jnouné (18), jnouney (10), jnounés (5), jnouner (3), jnounes (2), jnoounes (1), jnoon (1), jnooné (1), jnoune (1), jnouneys (1), jnounées (1)
bling-bling;bling-bling, bling-blings, blings-blings;134;bling-bling (125), bling-blings (6), blings-blings (3)
crari;crari, craris, krari, craries, crar';165;crari (151), craris (7), krari (5), craries (1), crar' (1)
zbeul;zbeul, sbeul, zbeuleur, zbeule, zbeuhl, zbel, zbeuleurs, zbeulettique, sbeuhl, sbeul', sbeule, sbeull, sbeuln;137;zbeul (116), sbeul (8), zbeuleur (2), zbeule (2), zbeuhl (1), zbel (1), zbeuleurs (1), zbeulettique (1), sbeuhl (1), sbeul' (1), sbeule (1), sbeull (1), sbeuln (1)
easy;easy;141;
foolek;foolek, foulek, fouleks, fooleks, fouleck, foulecks, foulec, fooleck;86;foolek (42), foulek (25), fouleks (7), fooleks (7), fouleck (2), foulecks (1), foulec (1), fooleck (1)
pillave;pillave, pillavent, pillaves, pillav, pillaveurs, llave-pi, pillavait, pilliave, pillav';183;pillave (159), pillavent (7), pillaves (6), pillav (3), pillaveurs (3), llave-pi (2), pillavait (1), pilliave (1), pillav' (1)
rockstar;rockstar, rockstars, rock-star, rocksta, rock-stars;83;rockstar (66), rockstars (9), rock-star (5), rocksta (2), rock-stars (1)
haters;haters, hater, hater's, haterz;139;haters (118), hater (17), hater's (2), haterz (2)
fame;fame, fames';97;fame (96), fames' (1)
selfie;selfie, selfies;145;selfie (86), selfies (59)
miskine;miskine, meskine, miskina, miskines, meskina, meskin, meskines, meskinne, miskinas;148;miskine (77), meskine (33), miskina (15), miskines (7), meskina (5), meskin (5), meskines (4), meskinne (1), miskinas (1)
sheguey;sheguey, shegueys, shegueysses, shegey, shegeys, shegguey, sheyguey;49;sheguey (33), shegueys (11), shegueysses (1), shegey (1), shegeys (1), shegguey (1), sheyguey (1)
chouf;chouf, chouffe, chouf', chouffer, choufs, choufe, chouf-chouf, choufer, chouffent, tchouffer;90;chouf (63), chouffe (9), chouf' (6), chouffer (3), choufs (3), choufe (2), chouf-chouf (1), choufer (1), chouffent (1), tchouffer (1)
rabza;rabza, rabzas, rabzouz, rabes-a, rab-za, rabza', rabsa, rabsas, rabsats, rabzouss, rabzouzettes;128;rabza (47), rabzas (46), rabzouz (20), rabes-a (6), rab-za (3), rabza' (1), rabsa (1), rabsas (1), rabsats (1), rabzouss (1), rabzouzettes (1)
good;good;105;
deep;deep, deeper;107;deep (104), deeper (3)
corazon;corazon, corazón, corasón;45;corazon (23), corazón (21), corasón (1)
walou;walou, wallou, walouh, wallouh;85;walou (64), wallou (19), walouh (1), wallouh (1)
sista;sista, sistas, sister, sisters, sistah, sista', sista's;117;sista (51), sistas (29), sister (25), sisters (7), sistah (3), sista' (1), sista's (1)
vago;vago, vagos, vag';61;vago (55), vagos (5), vag' (1)
hebs;hebs, hèbs;124;hebs (116), hèbs (8)
pouki;pouki, pookie, poukis, poukie, pookies, poukies, pouci, poukri, poucis, pouk, pouc', pouc's, pouky, ex-poukis, poucas, poukpouk;116;pouki (37), pookie (21), poukis (21), poukie (13), pookies (8), poukies (5), pouci (2), poukri (1), poucis (1), pouk (1), pouc' (1), pouc's (1), pouky (1), ex-poukis (1), poucas (1), poukpouk (1)
rodave;rodave, rodav, rodaves, rodav', rodavent;112;rodave (91), rodav (11), rodaves (5), rodav' (3), rodavent (2)
sheesh;sheesh, cheech, sheeesh, shesh, sheeshee, shesssh, sheeh, sheee;41;sheesh (30), cheech (3), sheeesh (2), shesh (2), sheeshee (1), shesssh (1), sheeh (1), sheee (1)
kické;kické, kickent, kickes, kickais, kickait, kickant, kickerai, kickez, kickés, kickée;130;kické (40), kickent (29), kickes (16), kickais (16), kickait (9), kickant (8), kickerai (6), kickez (3), kickés (2), kickée (1)
shlass;shlass, schlasser, shlasser, schlassé, shlas, shlasse, schlassent, shlasses, schlas, schlassait, schlassant, schlasseur, schlassée, shlassons, shlassé, shlassés;152;shlass (104), schlasser (16), shlasser (8), schlassé (4), shlas (4), shlasse (4), schlassent (2), shlasses (2), schlas (1), schlassait (1), schlassant (1), schlasseur (1), schlassée (1), shlassons (1), shlassé (1), shlassés (1)
habibi;habibi, habiba;38;habibi (27), habiba (11)
mood;mood;61;
snitch;snitch, snitchs, snitchent, snitché, snich;87;snitch (66), snitchs (18), snitchent (1), snitché (1), snich (1)
baggy;baggy, baggies;124;baggy (121), baggies (3)
goumer;goumer, goume, goumé, goument, goumés, goumée, goumant;55;goumer (23), goume (16), goumé (6), goument (6), goumés (2), goumée (1), goumant (1)
plavon;plavon, plavons;104;plavon (65), plavons (39)
crazy;crazy;54;
tweet;tweet, tweets, tweeter, tweete, retweet, tweeté, retweete, retweets, tweetent, retweetés, tweetes, retweetes, retweeter, retweetent;75;tweet (20), tweets (19), tweeter (7), tweete (6), retweet (5), tweeté (4), retweete (3), retweets (3), tweetent (2), retweetés (2), tweetes (1), retweetes (1), retweeter (1), retweetent (1)
youth;youth, youth';72;youth (71), youth' (1)
khalass;khalass, khalas, khalasse, khalass';99;khalass (89), khalas (6), khalasse (3), khalass' (1)
booty;booty, booties, bootie;67;booty (64), booties (2), bootie (1)
cojones;cojones, cojo, cojos, cojo', cojoness;95;cojones (77), cojo (8), cojos (5), cojo' (4), cojoness (1)
busy;busy, buzy;88;busy (86), buzy (2)
mano;mano, manos;60;mano (53), manos (7)
lol;lol, lol's;74;lol (73), lol's (1)
bsahtek;bsahtek, bsartek, psahtek, psartek, bsahteck, psahteck, bsartik, bsahrtek, bsahtik, bsateck, bsathek, bshatek, psartik, bzahtek, bzartek;98;bsahtek (58), bsartek (10), psahtek (9), psartek (8), bsahteck (2), psahteck (2), bsartik (1), bsahrtek (1), bsahtik (1), bsateck (1), bsathek (1), bshatek (1), psartik (1), bzahtek (1), bzartek (1)
drive-by;drive-by;93;
grinder;grinder, grind, grinderz, grinde, grindent, grindeuse;54;grinder (31), grind (11), grinderz (8), grinde (2), grindent (1), grindeuse (1)
playa;playa, playas;63;playa (62), playas (1)
sah;sah, sahr;93;sah (92), sahr (1)
tonight;tonight;39;
rookie;rookie, rookies, rookys;76;rookie (48), rookies (27), rookys (1)
streams;streams, stream, streaming, streamer, streamez, streamé;86;streams (35), stream (25), streaming (22), streamer (2), streamez (1), streamé (1)
kahba;kahba, kehba, kah, kahbas, kehbas, khabas, kah', khaba, khabs, kehb, keh', keh's;83;kahba (38), kehba (16), kah (10), kahbas (6), kehbas (4), khabas (2), kah' (2), khaba (1), khabs (1), kehb (1), keh' (1), keh's (1)
wari;wari, wahri;52;wari (47), wahri (5)
dick;dick, dicks;74;dick (71), dicks (3)
hashtag;hashtag, hashtags, hash-tag;59;hashtag (49), hashtags (9), hash-tag (1)
narvalo;narvalo, narvalos, narvallo, narvalow, narvalé, narvallos, narvali, narvalito;83;narvalo (52), narvalos (24), narvallo (2), narvalow (1), narvalé (1), narvallos (1), narvali (1), narvalito (1)
handek;handek, hendek, hendeck, hendeks, handeks, handeck, handèk;93;handek (48), hendek (34), hendeck (4), hendeks (3), handeks (2), handeck (1), handèk (1)
vatos;vatos, vato;70;vatos (60), vato (10)
barjot;barjot, barjo, barjots, barjos, barje, barj', barjes;94;barjot (28), barjo (23), barjots (19), barjos (13), barje (7), barj' (2), barjes (2)
hlel;hlel;85;
rapta;rapta, khabta, raptas, rhabta, rhapta, khaptas;70;rapta (50), khabta (12), raptas (3), rhabta (3), rhapta (1), khaptas (1)
pénave;pénave, penave, pénaves, pénavent, pénav, pénav';73;pénave (58), penave (5), pénaves (4), pénavent (3), pénav (2), pénav' (1)
banger;banger, bangers, bangerz;68;banger (45), bangers (21), bangerz (2)
cabeza;cabeza, cabesa, cabess, cabessa, cabez', cabess';58;cabeza (41), cabesa (11), cabess (2), cabessa (2), cabez' (1), cabess' (1)
shawty;shawty, shorty, shawtey, shawdy;47;shawty (31), shorty (14), shawtey (1), shawdy (1)
garo;garo, garos, garot, garro, garots, garo', garohs, garro';88;garo (43), garos (17), garot (10), garro (8), garots (7), garo' (1), garohs (1), garro' (1)
pimp;pimp, pimper, pimpé, pimpe, pimp', pimpage, pimpance, pimpeur, pimpin, pimpin', pimpent;84;pimp (61), pimper (7), pimpé (7), pimpe (2), pimp' (1), pimpage (1), pimpance (1), pimpeur (1), pimpin (1), pimpin' (1), pimpent (1)
power;power, powers;89;power (80), powers (9)
caliente;caliente, calienté, calien', calientes;42;caliente (39), calienté (1), calien' (1), calientes (1)
